401.14	61.603
404.99	63.365
408.85	64.256
412.71	60.975
416.56	62.443
420.42	65.387
424.28	65.878
428.14	67.094
431.99	65.352
435.85	63.263
439.71	63.052
443.56	63.553
447.42	65.38
451.28	66.142
455.14	65.418
458.99	64.471
462.85	64.318
466.71	63.856
470.56	64.736
474.42	66.296
478.28	66.253
482.14	66.441
485.99	67.508
489.85	68.141
493.71	69.205
497.56	70.094
501.42	70.992
505.28	70.68
509.14	69.796
512.99	68.735
516.85	68.1
520.71	68.511
524.56	67.881
528.42	67.103
532.28	66.84
536.14	66.431
539.99	66.417
543.85	65.998
547.71	65.639
551.56	65.907
555.42	65.588
559.28	65.201
563.14	65.523
566.99	66.61
570.85	66.565
574.71	65.497
578.56	65.128
582.42	64.867
586.28	64.599
590.14	64.967
593.99	64.952
597.85	64.661
601.71	65.127
605.56	65.621
609.42	65.457
613.28	65.068
617.14	65.509
620.99	66.103
624.85	66.097
628.71	66.652
632.56	67.187
636.42	67.2
640.28	66.996
644.14	67.029
647.99	67.383
651.85	68.147
655.71	68.668
659.56	68.755
663.42	69.217
667.28	69.66
671.14	69.713
674.99	69.971
678.85	70.088
682.71	70.568
686.56	70.851
690.42	71.159
694.28	71.558
698.14	71.893
701.99	72.602
705.85	73.285
709.71	73.538
713.56	73.462
717.42	73.788
721.28	74.531
725.14	74.871
728.99	74.959
732.85	75.484
736.71	75.943
740.56	75.99
744.42	76.687
748.28	77.338
752.14	77.466
755.99	77.253
759.85	77.203
763.71	77.573
767.56	78.005
771.42	77.656
775.28	77.619
779.13	78.41
782.99	78.936
786.85	79.153
790.71	79.155
794.56	79.168
798.42	79.293
802.28	79.173
806.13	79.444
809.99	79.678
813.85	79.482
817.71	79.736
821.56	79.957
825.42	79.71
829.28	79.708
833.13	80.291
836.99	80.649
840.85	80.997
844.71	81.285
848.56	81.305
852.42	81.277
856.28	81.519
860.13	81.975
863.99	81.961
867.85	82.058
871.71	82.562
875.56	82.892
879.42	82.866
883.28	82.708
887.13	82.79
890.99	83.366
894.85	83.786
898.71	83.87
902.56	84.125
906.42	84.553
910.28	84.65
914.13	84.659
917.99	84.912
921.85	85.259
925.71	85.404
929.56	85.595
933.42	85.821
937.28	85.854
941.13	85.855
944.99	85.946
948.85	85.83
952.71	85.996
956.56	86.073
960.42	85.907
964.28	85.998
968.13	85.988
971.99	85.977
975.85	86.256
979.71	86.336
983.56	85.829
987.42	85.423
991.28	85.584
995.13	85.729
998.99	85.753
1002.8	85.758
1006.7	85.918
1010.5	85.941
1014.4	86.027
1018.2	86.305
1022.1	86.499
1025.9	86.289
1029.8	85.92
1033.7	85.9
1037.5	85.681
1041.4	85.182
1045.2	84.88
1049.1	85.149
1052.9	85.419
1056.8	85.612
1060.7	85.777
1064.5	85.736
1068.4	85.683
1072.2	85.557
1076.1	85.596
1079.9	86.039
